epoch,train_loss,dev_loss,record_f1,record_em,sql_em,error_rate,best_f1
-1,nan,0.109558,0.256056,0.195279,0.012876,0.497854,0.256056
0,0.139040,nan,nan,nan,nan,nan,0.256056
1,0.094088,0.053365,0.138767,0.133047,0.006438,0.918455,0.256056
2,0.064560,nan,nan,nan,nan,nan,0.256056
3,0.050540,0.034902,0.147597,0.143777,0.002146,0.950644,0.256056
4,0.041744,nan,nan,nan,nan,nan,0.256056
5,0.035037,0.026356,0.139485,0.139485,0.002146,0.965665,0.256056
6,0.030450,nan,nan,nan,nan,nan,0.256056
7,0.026147,0.022390,0.159712,0.158798,0.008584,0.939914,0.256056
