epoch,train_loss,dev_loss,record_f1,record_em,sql_em,error_rate,best_f1
0,0.014690,nan,nan,nan,nan,nan,-1.000000
1,0.013304,nan,nan,nan,nan,nan,-1.000000
2,0.012485,nan,nan,nan,nan,nan,-1.000000
3,0.011764,0.017281,0.597097,0.572961,0.017167,0.270386,0.597097
4,0.010401,nan,nan,nan,nan,nan,0.597097
5,0.010012,nan,nan,nan,nan,nan,0.597097
6,0.009227,nan,nan,nan,nan,nan,0.597097
7,0.008570,0.017099,0.381700,0.349785,0.017167,0.542918,0.597097
8,0.007934,nan,nan,nan,nan,nan,0.597097
9,0.007627,nan,nan,nan,nan,nan,0.597097
10,0.007748,nan,nan,nan,nan,nan,0.597097
11,0.007115,0.018493,0.538414,0.500000,0.021459,0.356223,0.597097
12,0.006269,nan,nan,nan,nan,nan,0.597097
13,0.006365,nan,nan,nan,nan,nan,0.597097
14,0.005666,nan,nan,nan,nan,nan,0.597097
15,0.005421,0.018654,0.511379,0.482833,0.015021,0.394850,0.597097
16,0.005365,nan,nan,nan,nan,nan,0.597097
17,0.004896,nan,nan,nan,nan,nan,0.597097
18,0.004832,nan,nan,nan,nan,nan,0.597097
19,0.004576,0.018963,0.207575,0.199571,0.006438,0.858369,0.597097
20,0.004851,nan,nan,nan,nan,nan,0.597097
21,0.004003,nan,nan,nan,nan,nan,0.597097
22,0.003997,nan,nan,nan,nan,nan,0.597097
23,0.003995,0.018598,0.383655,0.364807,0.010730,0.592275,0.597097
24,0.003606,nan,nan,nan,nan,nan,0.597097
25,0.003396,nan,nan,nan,nan,nan,0.597097
26,0.003342,nan,nan,nan,nan,nan,0.597097
27,0.003129,0.019667,0.164975,0.160944,0.004292,0.927039,0.597097
28,0.003007,nan,nan,nan,nan,nan,0.597097
29,0.003159,nan,nan,nan,nan,nan,0.597097
30,0.003007,nan,nan,nan,nan,nan,0.597097
31,0.002731,0.020071,0.250438,0.238197,0.010730,0.804721,0.597097
32,0.002783,nan,nan,nan,nan,nan,0.597097
33,0.002524,nan,nan,nan,nan,nan,0.597097
